year,month,E_index,C_index
1974,12,-0.71229,-1.32576
1975,1,-0.39576,-0.89808
1975,2,-0.73354,-0.74668
1975,3,-0.18945,-1.43629
1975,4,0.23266,-1.63799
1975,5,-0.43765,-1.68449
1975,6,-0.74596,-1.89962
1975,7,-0.34482,-2.18419
1975,8,0.01034,-2.52666
1975,9,-0.22902,-2.78459
1975,10,-0.43792,-2.88884
1975,11,-0.57481,-2.72738
1975,12,-0.73021,-2.84861
1976,1,-0.85311,-2.58205
1976,2,-0.24271,-1.94126
1976,3,-0.16796,-1.39361
1976,4,0.10137,-1.47066
1976,5,0.54784,-1.48392
1976,6,1.44381,-1.49479
1976,7,1.60058,-1.459
1976,8,1.72729,-1.20854
1976,9,1.51482,-0.83468
1976,10,1.08133,-0.07978
1976,11,0.79334,0.11349
1976,12,0.83754,-0.31847
1977,1,0.90632,-0.01676
1977,2,0.39126,-0.03207
1977,3,0.18082,-0.21754
1977,4,-0.54101,-0.35896
1977,5,-0.35724,-0.3085
1977,6,-0.21602,-0.11374
1977,7,-0.26791,0.02021
1977,8,-0.66173,0.14687
1977,9,-0.69623,0.62571
1977,10,-0.25447,0.64247
1977,11,-0.22034,0.52649
1977,12,-0.25056,0.65627
1978,1,-0.29571,0.68259
1978,2,-0.28925,0.36339
1978,3,-0.76821,0.0781
1978,4,-0.724,-0.59049
1978,5,-1.25427,-0.27402
1978,6,-1.09478,-0.40879
1978,7,-0.77403,-0.58637
1978,8,-1.15314,-0.5096
1978,9,-0.7917,-0.52544
1978,10,-0.4668,-0.55272
1978,11,-0.06156,-0.55787
1978,12,0.18425,-0.368
1979,1,-0.16868,-0.14455
1979,2,-0.29966,-0.23626
1979,3,-0.29757,0.02274
1979,4,0.13822,-0.06334
1979,5,0.16607,-0.30962
1979,6,0.17279,-0.41649
1979,7,-0.08043,-0.38655
1979,8,0.44307,-0.5914
1979,9,1.00327,-0.52434
1979,10,0.78938,-0.35941
1979,11,0.3545,0.13987
1979,12,0.11323,0.46793
1980,1,-0.0488,0.72162
1980,2,-0.46206,0.67098
1980,3,-0.40952,0.42685
1980,4,-0.33858,0.2589
1980,5,-0.4592,0.40711
1980,6,-0.12938,0.31713
1980,7,-0.55196,0.21434
1980,8,-0.18039,-0.4046
1980,9,0.07876,-0.40826
1980,10,-0.47496,-0.0706
1980,11,-0.24032,-0.02096
1980,12,-0.1623,-0.07098
1981,1,-1.24608,0.08076
1981,2,-1.18468,-0.11271
1981,3,-0.53377,-0.35491
1981,4,-0.33401,-0.71335
1981,5,-0.39276,-0.82221
1981,6,-0.24918,-0.7957
1981,7,-0.26197,-1.00828
1981,8,-0.55688,-0.83175
1981,9,-0.28028,-0.37423
1981,10,-0.11292,-0.4299
1981,11,-0.3164,-0.4031
1981,12,-0.05908,-0.1517
1982,1,0.10137,0.02832
1982,2,-0.17011,-0.06468
1982,3,-0.73387,0.49805
1982,4,-0.66726,0.81
1982,5,-0.17172,0.77615
1982,6,0.11997,0.71556
1982,7,0.58108,0.13147
1982,8,1.25607,0.08482
1982,9,2.08238,0.31011
1982,10,2.26232,0.81399
1982,11,3.10745,0.29157
1982,12,3.52396,0.28646
1983,1,3.51132,0.34205
1983,2,2.77778,0.37509
1983,3,2.50686,-0.01311
1983,4,2.93814,-0.68772
1983,5,3.24368,-0.72077
1983,6,3.45708,-1.16388
1983,7,3.06845,-1.5065
1983,8,2.59633,-1.52899
1983,9,1.69175,-1.63948
1983,10,0.99037,-1.69192
1983,11,0.48506,-1.64967
1983,12,0.22991,-1.26045
1984,1,0.00723,-0.99411
1984,2,0.00262,-0.62176
1984,3,0.1761,-0.90062
1984,4,0.28691,-1.22411
1984,5,-0.54762,-0.87434
1984,6,-0.67638,-0.86374
1984,7,-0.42194,-0.70888
1984,8,-0.01123,-0.86701
1984,9,0.09563,-0.75831
1984,10,-0.2193,-0.98724
1984,11,-0.11721,-1.46428
1984,12,-0.40584,-1.52943
1985,1,-0.81888,-0.994
1985,2,-0.8138,-0.78272
1985,3,-0.31296,-1.31169
1985,4,-0.56455,-1.45575
1985,5,-0.94936,-1.03548
1985,6,-0.75115,-0.98789
1985,7,-1.07277,-0.62493
1985,8,-0.92578,-0.52987
1985,9,-0.94503,-0.446
1985,10,-0.91861,-0.32134
1985,11,-0.85112,-0.28999
1985,12,-0.77258,-0.28401
1986,1,-0.64466,-0.37535
1986,2,-0.36537,-0.39497
1986,3,-0.61899,-0.11309
1986,4,-0.53119,-0.3031
1986,5,-0.98768,-0.21819
1986,6,-0.83726,0.01259
1986,7,-0.40246,0.07881
1986,8,-0.10522,0.26419
1986,9,0.16155,0.41032
1986,10,0.31541,0.49012
1986,11,0.5751,0.6686
1986,12,0.91555,0.50947
1987,1,1.05928,0.46945
1987,2,0.99049,0.70149
1987,3,1.15387,0.50841
1987,4,1.322,-0.19003
1987,5,1.34399,-0.02427
1987,6,0.99388,0.44264
1987,7,1.28457,0.59287
1987,8,1.3626,0.79181
1987,9,1.49624,1.07813
1987,10,1.22604,0.92095
1987,11,0.87557,1.01696
1987,12,0.77514,0.9182
1988,1,0.1719,1.07999
1988,2,-0.47605,0.82651
1988,3,-0.62023,0.55226
1988,4,-0.71999,-0.12947
1988,5,-1.33138,-0.48957
1988,6,-1.85478,-0.87033
1988,7,-1.73393,-1.07392
1988,8,-1.38015,-0.87547
1988,9,-0.82059,-1.13962
1988,10,-0.6651,-2.16446
1988,11,-0.51967,-2.36187
1988,12,-0.38726,-2.45427
1989,1,-0.03945,-2.60208
1989,2,0.27349,-2.3198
1989,3,-0.19957,-1.72781
1989,4,-0.0803,-1.50705
1989,5,-0.65224,-0.91343
1989,6,-0.13628,-0.95527
1989,7,-0.25017,-0.92572
1989,8,0.01505,-1.05163
1989,9,-0.26414,-0.59845
1989,10,-0.31521,-0.55431
1989,11,-0.22024,-0.61101
1989,12,-0.4871,-0.02585
1990,1,-0.61837,0.34702
1990,2,-0.26871,0.51488
1990,3,-0.6796,0.4891
1990,4,-0.44836,0.31477
1990,5,-0.03884,0.05851
1990,6,-0.22257,0.06445
1990,7,-0.43411,0.33124
1990,8,-0.32137,0.44875
1990,9,-0.39455,0.54992
1990,10,-0.85281,0.85254
1990,11,-0.85581,0.84125
1990,12,-0.7747,1.03752
1991,1,-0.71266,1.15892
1991,2,-0.69782,0.97009
1991,3,-0.55515,0.64776
1991,4,-0.55929,0.7028
1991,5,-0.31405,0.81472
1991,6,0.34539,0.64168
1991,7,0.57122,0.67928
1991,8,0.17373,0.75075
1991,9,0.30019,0.48682
1991,10,0.32825,0.96052
1991,11,0.58432,1.03325
1991,12,0.80712,1.16626
1992,1,0.94593,1.07371
1992,2,0.67213,1.36406
1992,3,0.96021,0.91116
1992,4,1.54817,0.42622
1992,5,1.64606,0.27461
1992,6,0.60538,0.45973
1992,7,-0.35979,0.67396
1992,8,-0.29049,0.39645
1992,9,-0.20317,0.2702
1992,10,-0.40897,0.14816
1992,11,-0.41168,0.1696
1992,12,-0.37602,0.19674
1993,1,-0.21919,0.57039
1993,2,0.44087,0.38364
1993,3,0.58279,0.15464
1993,4,1.18166,0.00662
1993,5,1.35759,0.13193
1993,6,0.88671,-0.01685
1993,7,0.51138,0.05176
1993,8,0.36605,0.11657
1993,9,0.20921,0.39102
1993,10,0.48114,0.00766
1993,11,0.13113,0.11936
1993,12,-0.10858,0.43542
1994,1,-0.03837,0.37588
1994,2,-0.36202,0.25601
1994,3,-0.90509,0.53647
